"Reporting year","Provider country/institution - code","Provider country/institution - name","Provider agency","Provider project number","TOSSD ID Number","TOSSD recipient - code","TOSSD recipient - name",Region,"Project title",Description,"External link","SDG focus","SDG goal level explanation",Keywords,"Sector category - code","Sector category - name","Purpose code","Purpose name",ISICcode,"ISIC name","ISIC lvl","ISIC description letter lvl","Channel category - code","Channel category - name","Other Partners","Channel - code","Channel - name",Channel,"Modality - code","Modality - name","Financial instrument - code","Financial instrument - name","Financing arrangement - code","Financing arrangement - name","Framework of collaboration - code","Framework of collaboration - name","TOSSD pillar","TOSSD sub-pillar","Amount committed (USD thousand)","Deflated Amount committed (USD thousand)","Amount disbursed (USD thousand)","Deflated amount disbursed (USD thousand)","Reflows to the provider (USD thousand)","Deflated reflows to the provider (USD thousand)","Amount mobilised  (USD thousand)","Deflated amount mobilised  (USD thousand)","Salary cost (PPPs)",Concessionality,"Maturity (in months)","Leveraging mechanism","Origin of the funds mobilised","Source name"
2021,959,UNDP,"Voluntary non-core funding",124493,2021009133,434,Chile,"South America","Programa Fundacion Colunga","El proyecto propone realizar un proceso de evaluacion del Programa de Respuesta Local a la Emergencia  a partir de su capacidad tecnica y su independencia  asegurando la validez de las conclusiones y recomendaciones realizadas.",,1.3,,#COVID-19,160,"Other social infrastructure and services",16011,"Social protection and welfare services policy, planning and administration",8430,"Compulsory social security activities",O,"Public administration and defence; compulsory social security",41100,,,41114,"United Nations Development Programme","United Nations Development Programme",C01,Projects,110,"Standard grant",,,,,1,1,23.76648,24.401818684226,23.76648,24.401818684226,0,0,0,0,0,,,,,TOSSD
2021,959,UNDP,"Voluntary non-core funding",113963,2021005483,434,Chile,"South America","Definiciones Curriculares","Sistema de definiciones curriculares y evaluativas considera un compromiso de formacion integral y asegura la coherencia y alineamiento de los recursos educativos para la implementacion del Curriculum Nacional",,1.3;1.2,,,160,"Other social infrastructure and services",16050,"Multisector aid for basic social services",8430,"Compulsory social security activities",O,"Public administration and defence; compulsory social security",10000,,,10000,"Public Sector Institutions","MINISTERIO DE EDUCACION",C01,Projects,110,"Standard grant",,,,,1,1,203.38432,208.82130209668,203.38432,208.82130209668,0,0,0,0,0,,,,,TOSSD
2021,959,UNDP,"Voluntary non-core funding",94382,2021005480,434,Chile,"South America","Analisis Calidad de Educacion","Sistema de analisis  seguimiento y evaluacion para el fortalecimiento de la calidad de la educacion en todos los niveles (Centro de Estudios)",,1.3;1.2,,,160,"Other social infrastructure and services",16050,"Multisector aid for basic social services",8430,"Compulsory social security activities",O,"Public administration and defence; compulsory social security",10000,,,10000,"Public Sector Institutions","MINISTERIO DE EDUCACION",C01,Projects,110,"Standard grant",,,,,1,1,0.23131,0.23749350681499,0.23131,0.23749350681499,0,0,0,0,0,,,,,TOSSD
2021,959,UNDP,"Voluntary non-core funding",113965,2021003283,434,Chile,"South America","Cooperacion Internacional","Plataforma para la promocion de acciones para la cooperacion internacional (Oficina de Relaciones Internacionales)",,1.3;1.2,,,160,"Other social infrastructure and services",16050,"Multisector aid for basic social services",8430,"Compulsory social security activities",O,"Public administration and defence; compulsory social security",10000,,,10000,"Public Sector Institutions","MINISTERIO DE EDUCACION",C01,Projects,110,"Standard grant",,,,,1,1,0.42689,0.4383018595143,0.42689,0.4383018595143,0,0,0,0,0,,,,,TOSSD
2021,959,UNDP,"Voluntary non-core funding",90298,2021003282,434,Chile,"South America","Planes urbanos","Planes de desarrollo urbano sustentable para reducir desigualdades  entre cuyas expresiones mas significativas se encuentra la segregacion urbana",,1.3;1.2,,,160,"Other social infrastructure and services",16050,"Multisector aid for basic social services",8430,"Compulsory social security activities",O,"Public administration and defence; compulsory social security",10000,,,10000,"Public Sector Institutions","MINISTERIO DE VIVIENDA Y URBAN",C01,Projects,110,"Standard grant",,,,,1,1,0,0,0,0,1.47,1.5092968527865,0,0,0,,,,,TOSSD
2021,959,UNDP,"Voluntary non-core funding",115701,2021002910,434,Chile,"South America","Programa Personas Mayores","El objetivo es promover y fortalecer las redes sociales de las personas mayores a traves de la inclusion en la comunidad y el involucramiento en las redes digitales  para reducir las barreras que les impiden participar y ejercer todos sus derechos.",,1.3,,#COVID-19,160,"Other social infrastructure and services",16011,"Social protection and welfare services policy, planning and administration",8430,"Compulsory social security activities",O,"Public administration and defence; compulsory social security",41100,,,41114,"United Nations Development Programme","United Nations Development Programme",C01,Projects,110,"Standard grant",,,,,1,1,466.30047,478.76587198902,466.30047,478.76587198902,0,0,0,0,0,,,,,TOSSD
2021,940,"International Labour Organisation","Regular Budget","63210-CHL826-Output 2.3",2021002521,434,Chile,"South America","Contribution of 63210-DWT/CO-Santiago","Capacidad de los Estados miembros fortalecida para ratificar y aplicar las normas internacionales del trabajo y cumplir con sus obligaciones en materia de presentación de informes",https://www.ilo.org/santiago/lang--en/index.htm,8.8;16.3,,,160,"Other social infrastructure and services",16070,"Labour rights",841,"Administration of the State and the economic and social policy of the community",O,"Public administration and defence; compulsory social security",41300,,,41302,"International Labour Organisation - Assessed Contributions","ILO, International Labour Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,16.59,17.033493052876,16.59,17.033493052876,0,0,0,0,0,,,,,TOSSD
2021,940,"International Labour Organisation","Regular Budget","63210-CHL826-Output 2.1",2021002520,434,Chile,"South America","Contribution of 63210-DWT/CO-Santiago","Capacidad de los Estados miembros fortalecida para ratificar y aplicar las normas internacionales del trabajo y cumplir con sus obligaciones en materia de presentación de informes",https://www.ilo.org/santiago/lang--en/index.htm,8.8;16.3,,,160,"Other social infrastructure and services",16070,"Labour rights",841,"Administration of the State and the economic and social policy of the community",O,"Public administration and defence; compulsory social security",41300,,,41302,"International Labour Organisation - Assessed Contributions","ILO, International Labour Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,40.2,41.274648627222,40.2,41.274648627222,0,0,0,0,0,,,,,TOSSD
2021,940,"International Labour Organisation","Regular Budget","63210-CHL802-Output 1.2",2021002519,434,Chile,"South America","Contribution of 63210-DWT/CO-Santiago","Capacidad institutional de las organizaciones de trabajadores fortalecida",https://www.ilo.org/santiago/lang--en/index.htm,8.8;8.5;5.2,,,160,"Other social infrastructure and services",16080,"Social dialogue",94,"Activities of membership organizations",S,"Other service activities",41300,,,41302,"International Labour Organisation - Assessed Contributions","ILO, International Labour Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,14.24,14.620671553523,14.24,14.620671553523,0,0,0,0,0,,,,,TOSSD
2021,940,"International Labour Organisation","Regular Budget","63210-CHL802-Output 1.2",2021002519,434,Chile,"South America","Contribution of 63210-DWT/CO-Santiago","Capacidad institutional de las organizaciones de trabajadores fortalecida",https://www.ilo.org/santiago/lang--en/index.htm,8.8;8.5;5.2,,,160,"Other social infrastructure and services",16070,"Labour rights",841,"Administration of the State and the economic and social policy of the community",O,"Public administration and defence; compulsory social security",41300,,,41302,"International Labour Organisation - Assessed Contributions","ILO, International Labour Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,3.56,3.6551678883809,3.56,3.6551678883809,0,0,0,0,0,,,,,TOSSD
