"Reporting year","Provider country/institution - code","Provider country/institution - name","Provider agency","Provider project number","TOSSD ID Number","TOSSD recipient - code","TOSSD recipient - name",Region,"Project title",Description,"External link","SDG focus","SDG goal level explanation",Keywords,"Sector category - code","Sector category - name","Purpose code","Purpose name",ISICcode,"ISIC name","ISIC lvl","ISIC description letter lvl","Channel category - code","Channel category - name","Other Partners","Channel - code","Channel - name",Channel,"Modality - code","Modality - name","Financial instrument - code","Financial instrument - name","Financing arrangement - code","Financing arrangement - name","Framework of collaboration - code","Framework of collaboration - name","TOSSD pillar","TOSSD sub-pillar","Amount committed (USD thousand)","Deflated Amount committed (USD thousand)","Amount disbursed (USD thousand)","Deflated amount disbursed (USD thousand)","Reflows to the provider (USD thousand)","Deflated reflows to the provider (USD thousand)","Amount mobilised  (USD thousand)","Deflated amount mobilised  (USD thousand)","Salary cost (PPPs)",Concessionality,"Maturity (in months)","Leveraging mechanism","Origin of the funds mobilised","Source name"
2023,301,Canada,"Global Affairs Canada",P001265001,20172008930006,434,Chile,"South America","Skills for Employment in the Extractives Sector of the Pacific Alliance/Compétences pour l'emploi dans le secteur extractif de l'Alliance du Pacifique","The project supports Pacific Alliance countries (Chile, Colombia, Mexico and Peru) in strengthening their technical and vocational education and training, and establishing strong, demand-driven and industry-responsive training systems in the extractive sector.The project supports clean development and inclusive growth by collaborating with civil society and the private sector, and promoting responsible natural resource management and commercial practices. Project activities include: (1) providing training for the qualification and employability of vulnerable women, youth and Indigenous peoples, on environmental management and rehabilitation of mining sites; (2) sharing best practices in Canadian and Pacific Alliance institutions on self-employment; and (3) organizing thematic forums to disseminate policies developed on themes common to all Pacific Alliance countries. / Le projet appuie les pays de l’Alliance du Pacifique (Chili, Colombie, Mexique et Pérou) à renforcer l’enseignement et la formation techniques et professionnels et à mettre en place des systèmes de formation solides, axés sur la demande et adaptés aux besoins de l’industrie dans le secteur extractif.Le projet soutient le développement propre et la croissance inclusive en collaborant avec la société civile et le secteur privé et en encourageant une gestion responsable des ressources naturelles et des pratiques commerciales responsables. Parmi les activités du projet : 1) offrir une formation sur la qualification et l’employabilité des femmes, des jeunes et des peuples autochtones vulnérables sur la gestion de l’environnement et la réhabilitation des sites miniers; 2) partager les pratiques exemplaires des institutions du Canada et de l’Alliance du Pacifique sur le travail autonome; 3) organiser des forums thématiques pour diffuser les politiques élaborées sur des thèmes communs à tous les pays de l’Alliance du Pacifique.",,8;4,,,110,Education,11330,"Vocational training",8522,"Technical and vocational secondary education",P,Education,22000,,,22000,"Donor country-based NGO","Colleges and Institutes Canada(previously named ACCC)",C01,Projects,110,"Standard grant",,,,,1,1,0,0,0,0,0,0,0,0,0,,,,,TOSSD
2023,301,Canada,"Global Affairs Canada",P001265001,20172008930005,434,Chile,"South America","Skills for Employment in the Extractives Sector of the Pacific Alliance/Compétences pour l'emploi dans le secteur extractif de l'Alliance du Pacifique","The project supports Pacific Alliance countries (Chile, Colombia, Mexico and Peru) in strengthening their technical and vocational education and training, and establishing strong, demand-driven and industry-responsive training systems in the extractive sector.The project supports clean development and inclusive growth by collaborating with civil society and the private sector, and promoting responsible natural resource management and commercial practices. Project activities include: (1) providing training for the qualification and employability of vulnerable women, youth and Indigenous peoples, on environmental management and rehabilitation of mining sites; (2) sharing best practices in Canadian and Pacific Alliance institutions on self-employment; and (3) organizing thematic forums to disseminate policies developed on themes common to all Pacific Alliance countries. / Le projet appuie les pays de l’Alliance du Pacifique (Chili, Colombie, Mexique et Pérou) à renforcer l’enseignement et la formation techniques et professionnels et à mettre en place des systèmes de formation solides, axés sur la demande et adaptés aux besoins de l’industrie dans le secteur extractif.Le projet soutient le développement propre et la croissance inclusive en collaborant avec la société civile et le secteur privé et en encourageant une gestion responsable des ressources naturelles et des pratiques commerciales responsables. Parmi les activités du projet : 1) offrir une formation sur la qualification et l’employabilité des femmes, des jeunes et des peuples autochtones vulnérables sur la gestion de l’environnement et la réhabilitation des sites miniers; 2) partager les pratiques exemplaires des institutions du Canada et de l’Alliance du Pacifique sur le travail autonome; 3) organiser des forums thématiques pour diffuser les politiques élaborées sur des thèmes communs à tous les pays de l’Alliance du Pacifique.",,8;4,,,110,Education,11330,"Vocational training",8522,"Technical and vocational secondary education",P,Education,22000,,,22000,"Donor country-based NGO","Colleges and Institutes Canada(previously named ACCC)",C01,Projects,110,"Standard grant",,,,,1,1,0,0,0,0,0,0,0,0,0,,,,,TOSSD
2023,460,Uruguay,"Uruguayan Agency of International Co-operation",,2023460014,434,Chile,"South America","Fortalecimiento institucional en materia juvenil en Chile y Uruguay, de cara al diseño de políticas y buenas prácticas para la producción de conocimiento en juventudes, con énfasis en salud mental y bienestar psicosocial","Promover el fortalecimiento de las instituciones rectoras de las políticas públicas en temas de juventud de Chile y Uruguay, desde la producción de conocimiento en torno adolescencia y juventud, con énfasis en las temáticas de salud mental y bienestar psicosocial considerando especialmente la participación juvenil.Chile - Oferente y receptorAUCI y MIDES - Oferente y receptor",https://www.agci.cl/images/UY_Produccion_de_Conocimiento_en_Juventudes.pdf,5.c;5.a;5.5;5.2;5.1;3.d;10.3;10.2,,#GENDER,120,Health,12261,"Health education",86,"Human health activities",Q,"Human health and social work activities",12000,,"AGCID,INJU, ENAJ",12001,"Central Government","Instituto Nacional de la Juventud del Ministerio de Desarrollo Social y Familia de Chile",D01,"In-kind technical co-operation experts",110,"Standard grant",FA03,"CO-FINANCING ARRANGEMENTS INVOLVING RECIPIENT COUNTERPART FUNDS",FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0,0,0,0,0,0,0,,,,,TOSSD
2023,460,Uruguay,"Uruguayan Agency of International Co-operation",,2023460013,434,Chile,"South America","Fortalecimiento de capacidades e intercambio de buenas prácticas para la reducción del consumo de alcohol y otras drogas y fortalecimiento de los observatorios nacionales.","Contribuir al desarrollo de políticas públicas de drogas en la República Oriental del Uruguay y la República de Chile a través del fortalecimiento de la oferta programática y del intercambio de buenas prácticas para la mejora de las intervenciones en los ámbitos de prevención del consumo y recuperación del consumo problemático de alcohol y otras drogas. Chile - Oferente y receptor AUCI y Junta nacional de drogas - Oferente y receptor",https://www.agci.cl/images/UY_Alcohol_Drogas_Observatorios.pdf,3.5;10.2,,#PPR_RESPONSE,120,Health,12330,"Control of harmful use of alcohol and drugs",8690,"Other human health activities",Q,"Human health and social work activities",12000,,AGCID,12001,"Central Government","Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol de Chile",D01,"In-kind technical co-operation experts",110,"Standard grant",FA03,"CO-FINANCING ARRANGEMENTS INVOLVING RECIPIENT COUNTERPART FUNDS",FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0,0,0,0,0,0,0,,,,,TOSSD
2023,918,"EU Institutions","European Commission",JAG.420295,2023021321,434,Chile,"South America","825741 - EULAT ERADICATE GBC - H2020-SC1-2018-SINGLE-STAGE-RTD","825741 - EULAT ERADICATE GBC - ESTABLISHMENT AND EXPLOITATION OF A EUROPEAN-LATIN AMERICAN RESEARCH CONSORTIUM TOWARDS ERADICATION OF PREVENTABLE GALLBLADDER CANCER",https://www.klinikum.uni-heidelberg.de/eulat-eradicate-gbc,9.5;8.5;6;2;15;14;13;12;11,,R&D,120,Health,12382,"Research for prevention and control of NCDs",86,"Human health activities",Q,"Human health and social work activities",11000,,,11004,"Other public entities in donor country","Other public entities in donor country",K02,"RESEARCH AND DEVELOPMENT (R&D)",110,"Standard grant",,,,,1,1,0,0,133.31531141869,133.31531141869,0,0,0,0,0,,,,,TOSSD
2023,918,"EU Institutions","European Commission",JAG.263697,2023019207,434,Chile,"South America","824986 - VOGAS - H2020-SC1-2018-SINGLE-STAGE-RTD","824986 - VOGAS - SCREENING OF GASTRIC CANCER VIA BREATH VOLATILE ORGANIC COMPOUNDS BY HYBRID SENSING APPROACH",https://www.vogas.eu/,9.5;3.b;17.3,,CLIMATE|R&D,120,Health,12382,"Research for prevention and control of NCDs",86,"Human health activities",Q,"Human health and social work activities",51000,,,51000,"University, college or other teaching institution, research institute or think-tank","University, college or other teaching institution, research institute or think-tank",K02,"RESEARCH AND DEVELOPMENT (R&D)",110,"Standard grant",,,,,1,1,0,0,17.311851211073,17.311851211073,0,0,0,0,0,,,,,TOSSD
2023,918,"EU Institutions","European Commission",JAG.256543,2023019050,434,Chile,"South America","825749 - CLOSER - H2020-SC1-2018-SINGLE-STAGE-RTD","825749 - CLOSER - CHILDHOOD LEUKEMIA: OVERCOMING DISTANCE BETWEEN SOUTH AMERICA AND EUROPE REGIONS",https://closerleukemia.eu,9.5;3.b;17.3,,R&D,120,Health,12382,"Research for prevention and control of NCDs",86,"Human health activities",Q,"Human health and social work activities",62000,,,62000,"Private sector in recipient country","Private sector in recipient country",K02,"RESEARCH AND DEVELOPMENT (R&D)",110,"Standard grant",,,,,1,1,0,0,72.350778546713,72.350778546713,0,0,0,0,0,,,,,TOSSD
2023,918,"EU Institutions","European Commission",JAG.251086,2023018924,434,Chile,"South America","825546 - DIABFRAIL-LATAM - H2020-SC1-2018-SINGLE-STAGE-RTD","825546 - DIABFRAIL-LATAM - SCALING-UP OF AND EVIDENCE-BASED INTERVENTION PROGRAMME IN OLDER PEOPLE WITH DIABETES AND FRAILTY IN LATINAMERICA",http://www.diabfrail-latam.eu/,9.5;3.b;17.3,,R&D,120,Health,12382,"Research for prevention and control of NCDs",86,"Human health activities",Q,"Human health and social work activities",11000,,,11004,"Other public entities in donor country","Other public entities in donor country",K02,"RESEARCH AND DEVELOPMENT (R&D)",110,"Standard grant",,,,,1,1,0,0,10.467128027682,10.467128027682,0,0,0,0,0,,,,,TOSSD
2023,1050,"WHO-Strategic Preparedness and Response Plan","SPRP - Developmental TOSSD recipients only",5_498_41321_13.2.2,2023006465,434,Chile,"South America","5_498_41321_13.2.2 Proven prevention strategies for priority pandemic-/epidemic-prone diseases implemented at scale","5_498_41321_13.2.2 Proven prevention strategies for priority pandemic-/epidemic-prone diseases implemented at scale",,3.d,,#COVID-19|#PPR_PREPAREDNESS,120,Health,12264,"COVID-19 control",86,"Human health activities",Q,"Human health and social work activities",41300,,,41321,"World Health Organisation - Strategic Preparedness and Response Plan",WHO-SPRP-Earmarked,C01,Projects,110,"Standard grant",,,,,1,1,287.05018,287.05018,287.05018,287.05018,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_3.2.1,2023005018,434,Chile,"South America","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions",,3.d;3.5;3.4;2.2,,,120,Health,12240,"Basic nutrition",87,"Residential care activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,0.8215958171,0.8215958171,0.8215958171,0.8215958171,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_3.2.1,2023005018,434,Chile,"South America","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions",,3.d;3.5;3.4;2.2,,,120,Health,12350,"Other prevention and treatment of NCDs",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,4.1079790855,4.1079790855,4.1079790855,4.1079790855,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_3.2.1,2023005018,434,Chile,"South America","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions",,3.d;3.5;3.4;2.2,,,120,Health,12110,"Health policy and administrative management",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,0.41079790855,0.41079790855,0.41079790855,0.41079790855,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_3.2.1,2023005018,434,Chile,"South America","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions",,3.d;3.5;3.4;2.2,,,120,Health,12382,"Research for prevention and control of NCDs",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,0.8215958171,0.8215958171,0.8215958171,0.8215958171,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_3.2.1,2023005018,434,Chile,"South America","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions",,3.d;3.5;3.4;2.2,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,0.41079790855,0.41079790855,0.41079790855,0.41079790855,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_3.2.1,2023005018,434,Chile,"South America","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions","5_498_41702_3.2.1 Countries enabled to address risk factors through multisectoral actions",,3.d;3.5;3.4;2.2,,,120,Health,12263,"Tuberculosis control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,0.41079790855,0.41079790855,0.41079790855,0.41079790855,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_2.2.3,2023005011,434,Chile,"South America","5_498_41702_2.2.3 Mitigate the risk of the emergence and re-emergence of high-threat pathogens","5_498_41702_2.2.3 Mitigate the risk of the emergence and re-emergence of high-threat pathogens",,3.d,,#PPR_PREPAREDNESS,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,80.45103829,80.45103829,80.45103829,80.45103829,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_14.3.1,2023005001,434,Chile,"South America","5_498_41702_14.3.1 National influenza laboratory and surveillance systems contribute to GISRS for timely risk assessment & response measures","5_498_41702_14.3.1 National influenza laboratory and surveillance systems contribute to GISRS for timely risk assessment & response measures",,3.d,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,30.46486,30.46486,30.46486,30.46486,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.2.1,2023004988,434,Chile,"South America","5_498_41702_1.2.1 Countries enabled to develop and implement more equitable health financing strategies and reforms to sustain progress towards universal health coverage","5_498_41702_1.2.1 Countries enabled to develop and implement more equitable health financing strategies and reforms to sustain progress towards universal health coverage",,3.c;3.8,,,120,Health,12110,"Health policy and administrative management",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,7.4317486059,7.4317486059,7.4317486059,7.4317486059,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.2.1,2023004988,434,Chile,"South America","5_498_41702_1.2.1 Countries enabled to develop and implement more equitable health financing strategies and reforms to sustain progress towards universal health coverage","5_498_41702_1.2.1 Countries enabled to develop and implement more equitable health financing strategies and reforms to sustain progress towards universal health coverage",,3.c;3.8,,,120,Health,12281,"Health personnel development",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,1.3114850481,1.3114850481,1.3114850481,1.3114850481,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.5,2023004986,434,Chile,"South America","5_498_41702_1.1.5 Countries enabled to strengthen their health workforce","5_498_41702_1.1.5 Countries enabled to strengthen their health workforce",,9.5;3.8;3.7,,,120,Health,12110,"Health policy and administrative management",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,16.894942288,16.894942288,16.894942288,16.894942288,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.5,2023004986,434,Chile,"South America","5_498_41702_1.1.5 Countries enabled to strengthen their health workforce","5_498_41702_1.1.5 Countries enabled to strengthen their health workforce",,9.5;3.8;3.7,,,120,Health,12263,"Tuberculosis control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,1.206781592,1.206781592,1.206781592,1.206781592,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.5,2023004986,434,Chile,"South America","5_498_41702_1.1.5 Countries enabled to strengthen their health workforce","5_498_41702_1.1.5 Countries enabled to strengthen their health workforce",,9.5;3.8;3.7,,,120,Health,12220,"Basic health care",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,1.206781592,1.206781592,1.206781592,1.206781592,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.5,2023004986,434,Chile,"South America","5_498_41702_1.1.5 Countries enabled to strengthen their health workforce","5_498_41702_1.1.5 Countries enabled to strengthen their health workforce",,9.5;3.8;3.7,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,1.206781592,1.206781592,1.206781592,1.206781592,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.5,2023004986,434,Chile,"South America","5_498_41702_1.1.5 Countries enabled to strengthen their health workforce","5_498_41702_1.1.5 Countries enabled to strengthen their health workforce",,9.5;3.8;3.7,,,120,Health,12281,"Health personnel development",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,3.620344776,3.620344776,3.620344776,3.620344776,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.3,2023004983,434,Chile,"South America","5_498_41702_1.1.3 Countries enabled to strengthen their health systems to address population-specific health needs and barriers to equity across the life course","5_498_41702_1.1.3 Countries enabled to strengthen their health systems to address population-specific health needs and barriers to equity across the life course",,9.5;3.8;3.7,,,120,Health,12263,"Tuberculosis control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,0.7710122535,0.7710122535,0.7710122535,0.7710122535,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.3,2023004983,434,Chile,"South America","5_498_41702_1.1.3 Countries enabled to strengthen their health systems to address population-specific health needs and barriers to equity across the life course","5_498_41702_1.1.3 Countries enabled to strengthen their health systems to address population-specific health needs and barriers to equity across the life course",,9.5;3.8;3.7,,,120,Health,12110,"Health policy and administrative management",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,10.794171549,10.794171549,10.794171549,10.794171549,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.3,2023004983,434,Chile,"South America","5_498_41702_1.1.3 Countries enabled to strengthen their health systems to address population-specific health needs and barriers to equity across the life course","5_498_41702_1.1.3 Countries enabled to strengthen their health systems to address population-specific health needs and barriers to equity across the life course",,9.5;3.8;3.7,,,120,Health,12220,"Basic health care",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,0.7710122535,0.7710122535,0.7710122535,0.7710122535,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.3,2023004983,434,Chile,"South America","5_498_41702_1.1.3 Countries enabled to strengthen their health systems to address population-specific health needs and barriers to equity across the life course","5_498_41702_1.1.3 Countries enabled to strengthen their health systems to address population-specific health needs and barriers to equity across the life course",,9.5;3.8;3.7,,,120,Health,12281,"Health personnel development",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,2.3130367605,2.3130367605,2.3130367605,2.3130367605,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.3,2023004983,434,Chile,"South America","5_498_41702_1.1.3 Countries enabled to strengthen their health systems to address population-specific health needs and barriers to equity across the life course","5_498_41702_1.1.3 Countries enabled to strengthen their health systems to address population-specific health needs and barriers to equity across the life course",,9.5;3.8;3.7,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,0.7710122535,0.7710122535,0.7710122535,0.7710122535,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.2,2023004980,434,Chile,"South America","5_498_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results","5_498_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results",,9.5;3.8;3.7,,,120,Health,12110,"Health policy and administrative management",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,41.911239272,41.911239272,41.911239272,41.911239272,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.2,2023004980,434,Chile,"South America","5_498_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results","5_498_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results",,9.5;3.8;3.7,,,120,Health,12220,"Basic health care",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,2.993659948,2.993659948,2.993659948,2.993659948,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.2,2023004980,434,Chile,"South America","5_498_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results","5_498_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results",,9.5;3.8;3.7,,,120,Health,12281,"Health personnel development",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,8.980979844,8.980979844,8.980979844,8.980979844,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.2,2023004980,434,Chile,"South America","5_498_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results","5_498_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results",,9.5;3.8;3.7,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,2.993659948,2.993659948,2.993659948,2.993659948,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.2,2023004980,434,Chile,"South America","5_498_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results","5_498_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results",,9.5;3.8;3.7,,,120,Health,12263,"Tuberculosis control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,2.993659948,2.993659948,2.993659948,2.993659948,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.1,2023004978,434,Chile,"South America","5_498_41702_1.1.1 Countries enabled to provide high-quality, people-centred health services, based on primary health care strategies and comprehensive essential service packages","5_498_41702_1.1.1 Countries enabled to provide high-quality, people-centred health services, based on primary health care strategies and comprehensive essential service packages",,9.5;3.8;3.7,,,120,Health,12281,"Health personnel development",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,11.579822103,11.579822103,11.579822103,11.579822103,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.1,2023004978,434,Chile,"South America","5_498_41702_1.1.1 Countries enabled to provide high-quality, people-centred health services, based on primary health care strategies and comprehensive essential service packages","5_498_41702_1.1.1 Countries enabled to provide high-quality, people-centred health services, based on primary health care strategies and comprehensive essential service packages",,9.5;3.8;3.7,,,120,Health,12263,"Tuberculosis control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,3.859940701,3.859940701,3.859940701,3.859940701,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.1,2023004978,434,Chile,"South America","5_498_41702_1.1.1 Countries enabled to provide high-quality, people-centred health services, based on primary health care strategies and comprehensive essential service packages","5_498_41702_1.1.1 Countries enabled to provide high-quality, people-centred health services, based on primary health care strategies and comprehensive essential service packages",,9.5;3.8;3.7,,,120,Health,12110,"Health policy and administrative management",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,54.039169814,54.039169814,54.039169814,54.039169814,0,0,0,0,0,,,,,TOSSD
2023,928,"World Health Organisation","Voluntary contributions - regional and global (non-developmental)",5_498_41702_1.1.1,2023004978,434,Chile,"South America","5_498_41702_1.1.1 Countries enabled to provide high-quality, people-centred health services, based on primary health care strategies and comprehensive essential service packages","5_498_41702_1.1.1 Countries enabled to provide high-quality, people-centred health services, based on primary health care strategies and comprehensive essential service packages",,9.5;3.8;3.7,,,120,Health,12220,"Basic health care",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,3.859940701,3.859940701,3.859940701,3.859940701,0,0,0,0,0,,,,,TOSSD
