"Nombre_Partida","Nombre_Programa","String_name","partida","capitulo","codigo_programa_presupuestario","area","subtitulo","item","asignacion"
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Centro Antártico Internacional",6,4,1,"NA",24,3,50
"MINISTERIO DE ECONOMÍA","CORPORACIÓN DE FOMENTO DE LA PRODUCCIÓN","Comité Agencia de Fomento de la Producción Sustentable",7,6,"NA","NA",24,3,70
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Áreas Marinas Protegidas",6,4,1,"NA",24,3,52
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Desarrollo de la Ciencia Antártica Concursable",6,4,1,"NA",24,1,24
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Desarrollo de la Ciencia Antártica Concursable",6,4,1,"NA",24,3,24
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Desarrollo de la Ciencia Antártica Concursable",6,4,1,"NA",24,8,24
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","GASTO CORRIENTE",6,4,1,"NA","NA","NA","NA"
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Tésis Antárticas",6,4,1,"NA",24,1,24
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Tésis Antárticas",6,4,1,"NA",24,3,24
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Tésis Antárticas",6,4,1,"NA",24,8,24
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Inversión Infraestructura en Plataformas Científico-Logísticas",6,4,1,"NA",24,3,46
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Feria Antártica Escolar ",6,4,1,"NA",24,3,44
