Reporting year,Provider country/institution - code,Provider country/institution - name,Provider agency,Provider project number,TOSSD ID Number,TOSSD recipient - code,TOSSD recipient - name,Region,Project title,Description,External link,SDG focus,SDG goal level explanation,Keywords,Sector category - code,Sector category - name,Purpose code,Purpose name,ISICcode,ISIC name,ISIC lvl,ISIC description letter lvl,Channel category - code,Channel category - name,Other Partners,Channel - code,Channel - name,Channel,Modality - code,Modality - name,Financial instrument - code,Financial instrument - name,Financing arrangement - code,Financing arrangement - name,Framework of collaboration - code,Framework of collaboration - name,TOSSD pillar,TOSSD sub-pillar,Amount committed (USD thousand),Deflated Amount committed (USD thousand),Amount disbursed (USD thousand),Deflated amount disbursed (USD thousand),Reflows to the provider (USD thousand),Deflated reflows to the provider (USD thousand),Amount mobilised  (USD thousand),Deflated amount mobilised  (USD thousand),Salary cost (PPPs),Concessionality,Maturity (in months),Leveraging mechanism,Origin of the funds mobilised,Source name,Weight,Weighted_Amount
2022,454,Peru,Others,CL.PE/2022/13314,2022454018,434,Chile,South America,"Plan de Trabajo para fortalecer las capacidades en restauración de bosques y paisajes forestales entre los actores nacionales, regionales y locales (DECLARACIÓN PRESIDENCIAL Y PLAN DE ACCIÓN DE SANTIAGO)",Elaborar e implementar un Plan de Trabajo para el intercambio de experiencias y tecnologías para el control transfronterizo de especies de flora y fauna silvestre incluidos en los apéndices CITES,https://www.gob.pe/institucion/rree/noticias/675336-declaracion-de-santiago-tras-el-encuentro-presidencial-y-iv-gabinete-binacional-de-ministras-y-ministros-de-peru-y-chile,15.7;15.5,,,410,General Environment Protection,41030.0,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,12000.0,,,12001.0,Central Government,El Ministerio del Medio Ambiente de Chile,D01,In-kind technical co-operation experts,2100.0,Direct provider spending,,,FC01,SOUTH-SOUTH CO-OPERATION,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,1.0,0.0
2022,807,UNEP,Convention on Biological Diversity (CBD) - Voluntary Contributions Non-core - TOSSD only,UNEP-SCBD-Voluntary Non-core,2022012104,434,Chile,South America,SCBD POW Voluntary Contributions,General Trust Fund for Additional Voluntary Contributions in Support of Approved Activities under the Convention on Biological Diversity.,,8;7;6;5;4;3;2;11;10;1,,,410,General Environment Protection,41030.0,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,,,,0.0,,,D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,12.45,13.121529157924,12.45,13.121529157924,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,1.0,12.45
2022,807,UNEP,Convention on Biological Diversity (CBD) - Voluntary Contributions Non-core - TOSSD only,UNEP-SCBD-Voluntary Non-core,2022012103,434,Chile,South America,SCBD POW Voluntary Contributions,General Trust Fund for Additional Voluntary Contributions in Support of Approved Activities under the Convention on Biological Diversity.,,8;7;6;5;4;3;2;11;10;1,,,410,General Environment Protection,41030.0,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,,,,0.0,,,D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,0.81,0.85368984882881,0.81,0.85368984882881,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,1.0,0.81
2022,959,UNDP,UNDP- Global and regional activities,00106953,2022003854,434,Chile,South America,Comp3 Fortalecimiento,La Corporacion Nacional Forestal y otras entidades relevantes estan fortalecidas para dar cumplimiento a los requerimientos de la Convencion de Naciones Unidas para el Cambio Climatico,,15.2;15.1,,#GENDER,410,General Environment Protection,41010.0,Environmental policy and administrative management,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,12000.0,,,12000.0,Recipient Government,CORPORACION NACIONAL FORESTAL,C01,Projects,110.0,Standard grant,,,,,1,1,0.0,0.0,0.0,0.0,0.08031,0.084641767604249,0.0,0.0,0.0,,,,,TOSSD,0.4,0.0
2022,959,UNDP,UNDP- Global and regional activities,00094197,2022003103,434,Chile,South America,Comp2 Nueva gestion forestal,Nuevos modelos de gestion forestal implementados para las medidas de accion directas de la Estrategia Nacional de Cambio Climatico y Recursos Vegetacionales (ENCCRV) de CONAF (Corporacion Nacional Forestal),,15.2;15.1,,#GENDER,410,General Environment Protection,41010.0,Environmental policy and administrative management,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,12000.0,,,12000.0,Recipient Government,CORPORACION NACIONAL FORESTAL,C01,Projects,110.0,Standard grant,,,,,1,1,0.0,0.0,0.0,0.0,0.09403,0.09910179813009,0.0,0.0,0.0,,,,,TOSSD,0.4,0.0
2022,932,Food and Agriculture Organisation,Voluntary earmarked contributions - global and TOSSD-only activities,PRJ_669662,2022002530,434,Chile,South America,Updating the Climate Change National Adaptation Plan for Biodiversity,Updating the Climate Change National Adaptation Plan for Biodiversity,,15;13,,#ADAPTATION|#MITIGATION|#GENDER,410,General Environment Protection,41030.0,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,41300.0,,,41301.0,Food and Agricultural Organisation,Food and Agricultural Organisation,D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,329.31802,347.08080334618,329.31802,347.08080334618,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,1.0,329.31802
2022,909,Inter-American Development Bank Group,Inter-American Development Bank Group,CH-T1247&ATN/OC-18428-CH,2022002067,434,Chile,South America,Support to Chiles efforts to promote innovation in the biodiversity agenda,The objective of this operation is to develop relevant instruments and to provide institutional strengthening advisory to support the conservation goals established by Chile in its Nationally Determined Contribution (NDC) and other initiatives led by the Ministry of the Environment and the Under secretariat for Tourism.,https://www.iadb.org/en/project/CH-T1247,,,#ADAPTATION,410,General Environment Protection,41030.0,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,46000.0,,,46012.0,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund",INTER-AMERICAN DEVELOPMENT BANK,C01,Projects,110.0,Standard grant,,,,,1,1,0.0,0.0,114.975,121.17653131987,0.0,0.0,0.0,0.0,0.0,,25.0,,,TOSSD,1.0,114.975
2022,1406,United Nations Industrial Development Organization,Extrabudgetary non-core resources – global and TOSSD only,200325,2022000978,434,Chile,South America,HCFC phase-out management plan (stage III),,,9;7;3;2;13;12;11;1,,,410,General Environment Protection,41020.0,Biosphere protection,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,41100.0,,,41123.0,United Nations Industrial Development Organisation,UNIDO,C01,Projects,110.0,Standard grant,,,,,1,1,16.13192,17.002044871751,57.13426,60.215972570798,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,1.0,57.13426
2022,1406,United Nations Industrial Development Organization,Extrabudgetary non-core resources – global and TOSSD only,150220,2022000919,434,Chile,South America,HCFC phase-out management plan (stage III),,,9;7;3;2;13;12;11;1,,,410,General Environment Protection,41020.0,Biosphere protection,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,41100.0,,,41123.0,United Nations Industrial Development Organisation,UNIDO,C01,Projects,110.0,Standard grant,,,,,1,1,269.87474,284.43126665841,74.37072,78.382134214926,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,1.0,74.37072
2023,918,EU Institutions,European Commission,JAG.420295,2023021321,434,Chile,South America,825741 - EULAT ERADICATE GBC - H2020-SC1-2018-SINGLE-STAGE-RTD,825741 - EULAT ERADICATE GBC - ESTABLISHMENT AND EXPLOITATION OF A EUROPEAN-LATIN AMERICAN RESEARCH CONSORTIUM TOWARDS ERADICATION OF PREVENTABLE GALLBLADDER CANCER,https://www.klinikum.uni-heidelberg.de/eulat-eradicate-gbc,9.5;8.5;6;2;15;14;13;12;11,,R&D,120,Health,12382.0,Research for prevention and control of NCDs,86,Human health activities,Q,Human health and social work activities,11000.0,,,11004.0,Other public entities in donor country,Other public entities in donor country,K02,RESEARCH AND DEVELOPMENT (R&D),110.0,Standard grant,,,,,1,1,0.0,0.0,133.31531141869,133.31531141869,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,53.326124567476
